route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
1805,A12,小西灣(藍灣半島),機場,CTB-A12-I,機場 (經港珠澳大橋香港口岸),小西灣 (藍灣半島),swapped,1.000,0.167,0.583,
1807,A22,藍田站,機場(地面運輸中心),CTB-A22-I,機場 (經港珠澳大橋香港口岸),藍田站,swapped,1.000,0.167,0.583,
1808,A22,藍田站,機場(地面運輸中心)(經國泰城),CTB-A22-I,機場 (經港珠澳大橋香港口岸),藍田站,swapped,1.000,0.167,0.583,
1891,4X,上環,華富(南),CTB-4X-I,中環 (交易廣場),華富 (南),forward,0.167,1.000,0.583,
8118,702S,海盈邨,蘇屋邨,CTB-702S-I,泓景臺／富昌邨,蘇屋邨,forward,0.167,1.000,0.583,
8754,S52,飛機維修區,東涌站(不經國泰城及貨運區),CTB-S52-I,飛機維修區,東涌 (逸東邨),forward,1.000,0.167,0.583,
8751,A23,慈雲山 (北),機場,CTB-A23-I,機場 (經港珠澳大橋香港口岸),慈雲山 (北),swapped,1.000,0.167,0.583,
1000054,969,天恩邨,銅鑼灣(摩頓台),CTB-969-I,銅鑼灣 (摩頓台),天水圍市中心,swapped,0.167,1.000,0.583,
1000459,A26,油塘,機場,CTB-A26-I,機場 (經港珠澳大橋香港口岸),油塘,swapped,1.000,0.167,0.583,
1000455,A28,日出康城,機場,CTB-A28-I,機場 (經港珠澳大橋香港口岸),日出康城,swapped,1.000,0.167,0.583,
1000665,A28X,將軍澳站,機場,CTB-A28X-O,將軍澳站,機場 (經港珠澳大橋香港口岸),forward,1.000,0.167,0.583,
1596,702,海麗邨,九龍塘 (又一城)(循環線),CTB-702-I,九龍塘 (又一城),海麗邨／南昌站,swapped,0.500,0.667,0.583,
8583,6,赤柱監獄,中環(交易廣場)(經馬坑),CTB-6-I,赤柱市場,中環 (交易廣場),forward,0.500,0.667,0.583,
1000052,969C,天水圍市中心,太古 (康怡廣場)(經天耀),CTB-969C-I,太古 (康怡廣場),天水圍 (天瑞邨),swapped,0.500,0.667,0.583,
1000241,50M,和田邨,屯門站(循環線),CTB-50M-I,屯門站,菁田邨,swapped,0.667,0.500,0.583,
1000682,S56,東涌站巴士總站,機場(客運大樓),CTB-S56-O,東涌站,機場 (一號客運大樓),forward,0.429,0.750,0.589,
1516,18,北角(健康中街),上環,CTB-18-I,堅尼地城 (卑路乍灣)／上環,北角 (健康中街),swapped,1.000,0.200,0.600,
1537,37A,置富花園,金鐘(循環線),CTB-37A-O,置富花園,中環,forward,1.000,0.200,0.600,
8487,9,筲箕灣,石澳(不經鶴咀及大浪灣),CTB-9-I,石澳,筲箕灣,swapped,1.000,0.200,0.600,
