route_id,route_short_name,gtfs_from,gtfs_to,matched_key,kmb_origin_tc,kmb_destination_tc,orientation,sim_from,sim_to,avg,reason
1354,85K,恒安,沙田站,KMB-85K-O-1,恆安,沙田站,forward,0.500,1.000,0.750,
1422,99,恒安,西貢,KMB-99-O-1,恆安,西貢,forward,0.500,1.000,0.750,
8167,273A,上水(彩園),華明(循環線)(經風采中學),KMB-273A-O-1,上水(彩園),華明(循環線),forward,1.000,0.500,0.750,
8248,98D,坑口(北)(將軍澳醫院),尖沙咀東(經寶順路),KMB-98D-O-1,坑口(北)(將軍澳醫院),尖沙咀東,forward,1.000,0.500,0.750,
8396,A47X,大埔(太和),機場(地面運輸中心)(經白石角及國泰城),KMB-A47X-O-1,大埔(太和),機場(地面運輸中心),forward,1.000,0.500,0.750,
8497,80,美林,觀塘碼頭(不經顯徑),KMB-80-O-1,美林,觀塘碼頭,forward,1.000,0.500,0.750,
8517,89D,藍田站,烏溪沙站(不經彩虹),KMB-89D-O-1,烏溪沙站,藍田站,swapped,1.000,0.500,0.750,
1000023,A41P,烏溪沙站,機場(地面運輸中心)(經亞洲國際博覽館),KMB-A41P-O-1,烏溪沙站,機場(地面運輸中心),forward,1.000,0.500,0.750,
1000047,A34,洪水橋(洪元路),機場(地面運輸中心)(經亞洲國際博覽館),KMB-A34-O-1,洪水橋(洪元路),機場(地面運輸中心),forward,1.000,0.500,0.750,
1000088,A31,荃灣(如心廣場),機場(地面運輸中心)(經亞洲國際博覽館),KMB-A31-O-1,荃灣(如心廣場),機場(地面運輸中心),forward,1.000,0.500,0.750,
1000104,87K,大學站,錦英苑(循環線)(不入頌安總站),KMB-87K-O-1,大學站,錦英苑(循環線),forward,1.000,0.500,0.750,
1000192,296D,尚德,九龍站(途經M+),KMB-296D-O-1,尚德,九龍站,forward,1.000,0.500,0.750,
1000049,A34,兆康路,機場(地面運輸中心)(經亞洲國際博覽館),KMB-A34-O-2,兆康路,機場(地面運輸中心),forward,1.000,0.500,0.750,
1000195,X89D,泥涌,觀塘碼頭(經耀沙路),KMB-X89D-O-1,泥涌,觀塘碼頭,forward,1.000,0.500,0.750,
1000221,A36,機場(地面運輸中心),錦上路站(經民航處),KMB-A36-O-1,錦上路站,機場(地面運輸中心),swapped,1.000,0.500,0.750,
1000271,961,屯門(山景邨),灣仔(會展)(經銅鑼灣),KMB-961-O-1,屯門(山景邨),灣仔(會展),forward,1.000,0.500,0.750,
1000337,17,麗晶花園,何文田(愛民邨),KMB-17-O-3,太子道東(麗晶花園),何文田(愛民邨),forward,0.500,1.000,0.750,
1000382,98,將軍澳工業邨,牛頭角站(短程班次),KMB-98-O-1,將軍澳工業邨,牛頭角站(循環線),forward,1.000,0.500,0.750,
1000384,A30,梨木樹,機場(地面運輸中心)(經亞洲國際博覽館),KMB-A30-O-1,梨木樹,機場(地面運輸中心),forward,1.000,0.500,0.750,
1000445,A41,碩門邨,機場(地面運輸中心)(經國泰城及民航處),KMB-A41-O-1,碩門邨,機場(地面運輸中心),forward,1.000,0.500,0.750,
1000461,30X,黃埔花園,荃灣(荃威花園)(經祈德尊新邨),KMB-30X-O-1,荃灣(荃威花園),黃埔花園,swapped,1.000,0.500,0.750,
1000677,273A,彩石邨,華明(循環線)(經風采中學),KMB-273A-O-4,彩石邨,華明(循環線),forward,1.000,0.500,0.750,
1000634,84M,富安花園,黃大仙，樂富，廣源，富安花園(循環線)(非繁忙時段班次),KMB-84M-O-2,富安花園,黃大仙，樂富，廣源，富安花園,forward,1.000,0.524,0.762,
1000100,74K,大埔墟站,三門仔(循環線)(先經三門仔),KMB-74K-O-1,大埔墟站,三門仔(循環線),forward,1.000,0.545,0.773,
1141,273D,上水,華明(循環線)(經清河邨),KMB-273D-O-1,上水,華明(循環線),forward,1.000,0.556,0.778,
8760,23M,樂華,順利(循環線)(經九龍灣),KMB-23M-O-1,樂華,順利(循環線),forward,1.000,0.556,0.778,
1000310,R33,屯門站,迪士尼樂園(經迪欣湖),KMB-R33-O-1,迪士尼樂園,屯門站,swapped,1.000,0.556,0.778,
1000514,961S,屯門(良景邨),銅鑼灣(維園)(經業旺邨),KMB-961S-O-1,屯門(良景邨),銅鑼灣(維園),forward,1.000,0.556,0.778,
8379,3X,慈雲山(北),中港碼頭(經富山),KMB-3X-O-1,慈雲山(北),中港碼頭,forward,1.000,0.571,0.786,
1000031,E37,天水圍市中心,機場(地面運輸中心)(不經天水圍北),KMB-E37-O-1,天水圍市中心,機場(地面運輸中心),forward,1.000,0.571,0.786,
